id,created_at,closed_at,cancelled_at,customer_id,financial_status,fulfillment_status,processed_at,total_price,shipping_rate,subtotal_price,total_discounts,total_line_items_price
7676633503,8/22/2016,8/22/2016,,8687623647,paid,fulfilled,8/22/2016,112.97,7,97,0,97
7676633695,8/22/2016,8/22/2016,,8687362591,paid,fulfilled,8/22/2016,78.01,7,65,0,65
7676636959,8/22/2016,8/22/2016,,8687628447,paid,fulfilled,8/22/2016,121.27,0,111,0,111
7676638943,8/22/2016,8/22/2016,,8687634975,paid,fulfilled,8/22/2016,145,0,145,0,145
7676641375,8/22/2016,8/22/2016,,8687634271,paid,fulfilled,8/22/2016,34.31,7,25,0,25
7676649887,8/22/2016,8/22/2016,,8687639839,paid,fulfilled,8/22/2016,45.24,7,35,0,35
7676657695,8/22/2016,8/22/2016,,8687618207,paid,fulfilled,8/22/2016,32,7,25,0,25
7676658079,8/22/2016,8/22/2016,,8687655071,paid,fulfilled,8/22/2016,132,0,132,0,132
7676672351,8/22/2016,8/22/2016,,8687671135,paid,fulfilled,8/22/2016,45.24,7,35,0,35
7676689567,8/22/2016,8/22/2016,,8687684383,paid,fulfilled,8/22/2016,34.31,7,25,0,25
7676695775,8/22/2016,8/22/2016,,8687691871,paid,fulfilled,8/22/2016,61.63,7,50,0,50
7676711455,8/22/2016,8/22/2016,,8687716127,paid,fulfilled,8/22/2016,151.86,0,139,0,139
7676713759,8/22/2016,8/22/2016,,8687720991,paid,fulfilled,8/22/2016,113.62,0,104,0,104
7676717215,8/22/2016,8/22/2016,,8687705951,paid,fulfilled,8/22/2016,168.25,0,154,0,154
7676724895,8/22/2016,8/22/2016,,8687723935,paid,fulfilled,8/22/2016,138.7,41.7,97,0,97
7676727455,8/22/2016,8/22/2016,,8687727519,paid,fulfilled,8/22/2016,113.62,0,104,0,104
7676824287,8/22/2016,8/22/2016,,8687792095,partially_refunded,fulfilled,8/22/2016,133.29,0,122,0,122
7676870751,8/22/2016,8/22/2016,,8687860255,partially_refunded,fulfilled,8/22/2016,100,0,100,0,100
7676880287,8/22/2016,8/22/2016,,8687878815,paid,fulfilled,8/22/2016,52,7,45,0,45
7676882847,8/22/2016,8/22/2016,,8687853791,paid,fulfilled,8/22/2016,210.97,47.97,163,0,163
7676905311,8/22/2016,8/22/2016,,8687900703,paid,fulfilled,8/22/2016,56.16,7,45,0,45
7676906399,8/22/2016,8/22/2016,,8687622367,paid,fulfilled,8/22/2016,157.97,47.97,110,0,110
7676928287,8/22/2016,8/22/2016,,8687926559,paid,fulfilled,8/22/2016,67,7,60,0,60
7676943775,8/22/2016,8/22/2016,,8687947103,partially_refunded,fulfilled,8/22/2016,172,0,172,0,172
7676950559,8/22/2016,8/22/2016,,8687919391,paid,fulfilled,8/22/2016,157.97,47.97,110,0,110
7676970591,8/22/2016,8/22/2016,,8687965599,paid,fulfilled,8/22/2016,76,7,69,0,69
7676978527,8/22/2016,8/22/2016,,8687966111,paid,fulfilled,8/22/2016,103,7,96,0,96
7676989599,8/22/2016,8/22/2016,,8687967647,paid,fulfilled,8/22/2016,270.48,52.48,218,0,218
7677033695,8/22/2016,8/22/2016,,8688005087,paid,fulfilled,8/22/2016,149,0,149,0,149
7677034207,8/22/2016,8/22/2016,,8688019615,refunded,fulfilled,8/22/2016,106,0,106,0,106
7677036255,8/22/2016,8/22/2016,,8688025183,paid,fulfilled,8/22/2016,121,0,121,0,121
7677053023,8/22/2016,8/23/2016,,8688047199,paid,fulfilled,8/22/2016,32,7,25,0,25
7677060767,8/22/2016,8/23/2016,,8688060063,paid,fulfilled,8/22/2016,125,0,125,0,125
7677083615,8/22/2016,8/23/2016,,8688075359,paid,fulfilled,8/22/2016,154.83,32.83,122,0,122
7677109471,8/22/2016,8/23/2016,,8688093791,paid,fulfilled,8/22/2016,82.38,7,69,0,69
7677147743,8/22/2016,8/23/2016,,8688144607,paid,fulfilled,8/22/2016,32,7,25,0,25
7677148319,8/22/2016,8/23/2016,,8688142239,paid,fulfilled,8/22/2016,222.83,32.83,190,0,190
7677160543,8/22/2016,8/23/2016,,8688154079,paid,fulfilled,8/22/2016,114,0,114,0,114
7677166751,8/22/2016,8/23/2016,,8688056671,refunded,fulfilled,8/22/2016,163,0,163,0,163
7677207391,8/22/2016,8/23/2016,,8688189919,partially_refunded,fulfilled,8/22/2016,128.92,0,118,0,118
7677213855,8/22/2016,8/23/2016,,8688133663,refunded,fulfilled,8/22/2016,56.16,7,45,0,45
7677225439,8/22/2016,8/23/2016,,8688106463,paid,fulfilled,8/22/2016,145,0,145,0,145
7677229151,8/22/2016,8/23/2016,,8688248671,paid,fulfilled,8/22/2016,77,7,70,0,70
7677250015,8/22/2016,8/23/2016,,8688367967,paid,fulfilled,8/22/2016,32,7,25,0,25
7677255135,8/22/2016,8/23/2016,,8688153567,paid,fulfilled,8/22/2016,165.83,32.83,133,0,133
7677256863,8/22/2016,8/23/2016,,8688364767,paid,fulfilled,8/22/2016,45.24,7,35,0,35
7677260575,8/22/2016,8/23/2016,,8688445599,paid,fulfilled,8/22/2016,52,7,45,0,45
7677261663,8/22/2016,,8/22/2016,8688491615,refunded,,8/22/2016,158,0,158,0,158
7677262943,8/22/2016,8/23/2016,,8688491935,paid,fulfilled,8/22/2016,182,0,182,0,182
7677265375,8/22/2016,8/23/2016,,8688409055,paid,fulfilled,8/22/2016,32,7,25,0,25
7677267935,8/22/2016,8/23/2016,,8688496927,paid,fulfilled,8/22/2016,45,7,38,0,38
3.77156E+11,3/16/2017,3/22/2017,,2.80479E+11,paid,fulfilled,3/16/2017,0,0,0,38,38
7677268639,8/22/2016,8/23/2016,,8688496991,paid,fulfilled,8/22/2016,32,7,25,0,25
7677269023,8/22/2016,8/23/2016,,8688373343,paid,fulfilled,8/22/2016,112,0,112,0,112
7677271455,8/22/2016,8/23/2016,,8687983647,paid,fulfilled,8/22/2016,65,7,58,0,58
7677283935,8/22/2016,8/23/2016,,8688512159,refunded,fulfilled,8/22/2016,226,0,226,0,226
7677285855,8/22/2016,8/23/2016,,8688502431,paid,fulfilled,8/22/2016,107.97,47.97,60,0,60
7677289759,8/22/2016,8/23/2016,,8688513439,partially_refunded,fulfilled,8/22/2016,99,0,99,0,99
7677297695,8/22/2016,8/25/2016,,8688492767,paid,fulfilled,8/22/2016,32,7,25,0,25
7677307359,8/22/2016,8/23/2016,,8688536223,paid,fulfilled,8/22/2016,42,7,35,0,35
7677307487,8/22/2016,8/23/2016,,8688535711,paid,fulfilled,8/22/2016,87,7,80,0,80
7677308703,8/22/2016,8/23/2016,,8688488095,paid,fulfilled,8/22/2016,49,7,42,0,42
7677329375,8/22/2016,8/23/2016,,8688554015,paid,fulfilled,8/22/2016,229.85,28.85,201,0,201
7677330079,8/22/2016,8/23/2016,,8688545375,paid,fulfilled,8/22/2016,34.31,7,25,0,25
7677330271,8/22/2016,8/23/2016,,8688559199,paid,fulfilled,8/22/2016,126.73,0,116,0,116
7677338463,8/22/2016,8/23/2016,,8688566751,paid,fulfilled,8/22/2016,113.62,0,104,0,104
7677339999,8/22/2016,8/24/2016,,8688564063,paid,fulfilled,8/22/2016,45.24,7,35,0,35
7677353119,8/22/2016,8/23/2016,,8688538143,paid,fulfilled,8/22/2016,132,0,132,0,132
7677364639,8/22/2016,8/23/2016,,8688507999,paid,fulfilled,8/22/2016,45,7,38,0,38
7677368287,8/22/2016,8/23/2016,,8688595935,paid,fulfilled,8/22/2016,268,0,268,0,268
7677371871,8/22/2016,8/23/2016,,8688601503,paid,fulfilled,8/22/2016,72.55,7,60,0,60
7677374943,8/22/2016,8/23/2016,,8688577631,paid,fulfilled,8/22/2016,100,0,100,0,100
7677375327,8/22/2016,8/23/2016,,8688594143,refunded,fulfilled,8/22/2016,122,0,122,0,122
7677381087,8/22/2016,8/23/2016,,8688606175,paid,fulfilled,8/22/2016,87,7,80,0,80
7677381471,8/22/2016,8/23/2016,,8688580063,paid,fulfilled,8/22/2016,124.55,0,114,0,114
7677383711,8/22/2016,8/23/2016,,8688606943,paid,fulfilled,8/22/2016,32,7,25,0,25
7677387807,8/22/2016,8/23/2016,,8688527455,paid,fulfilled,8/22/2016,119,0,119,0,119
7677401823,8/22/2016,8/23/2016,,8688594463,paid,fulfilled,8/22/2016,103,0,103,0,103
7677412447,8/22/2016,8/23/2016,,8688639263,paid,fulfilled,8/22/2016,91.12,7,77,0,77
7677413279,8/22/2016,8/23/2016,,8688638303,paid,fulfilled,8/22/2016,131.1,0,120,0,120
7677413919,8/22/2016,8/23/2016,,8688641503,paid,fulfilled,8/22/2016,179.17,0,164,0,164
7677415647,8/22/2016,8/23/2016,,8688565023,paid,fulfilled,8/22/2016,94.4,7,80,0,80
7677421151,8/22/2016,8/23/2016,,8688638943,paid,fulfilled,8/22/2016,65,7,58,0,58
7677421279,8/22/2016,9/20/2016,,8688648479,paid,fulfilled,8/22/2016,131.1,0,120,0,120
7677426655,8/22/2016,8/23/2016,,8688649951,paid,fulfilled,8/22/2016,331,0,331,0,331
7677427807,8/22/2016,8/23/2016,,8688649759,paid,fulfilled,8/22/2016,121,0,121,0,121
7677431007,8/22/2016,8/23/2016,,8688654175,paid,fulfilled,8/22/2016,136.8,43.8,93,0,93
7677431711,8/22/2016,8/23/2016,,8688655327,paid,fulfilled,8/22/2016,121,0,121,0,121
7677432927,8/22/2016,8/23/2016,,8688654303,partially_refunded,fulfilled,8/22/2016,120,0,120,0,120
7677435999,8/22/2016,8/23/2016,,8688661279,paid,fulfilled,8/22/2016,45.24,7,35,0,35
7677438879,8/22/2016,8/23/2016,,8688666271,paid,fulfilled,8/22/2016,87,7,80,0,80
7677442463,8/22/2016,8/23/2016,,8688667743,paid,fulfilled,8/22/2016,42,7,35,0,35
7677442975,8/22/2016,8/23/2016,,8688660255,paid,fulfilled,8/22/2016,126,0,126,0,126
7677450655,8/22/2016,8/23/2016,,8688678495,partially_refunded,fulfilled,8/22/2016,56.16,7,45,0,45
7677460703,8/22/2016,8/23/2016,,8688688863,refunded,fulfilled,8/22/2016,81.29,7,68,0,68
7677463135,8/22/2016,8/23/2016,,8688691487,paid,fulfilled,8/22/2016,52,7,45,0,45
7677464671,8/22/2016,8/23/2016,,8688683551,paid,fulfilled,8/22/2016,32,7,25,0,25
7677471519,8/22/2016,8/23/2016,,8688693151,refunded,fulfilled,8/22/2016,32,7,25,0,25
7677474399,8/22/2016,8/23/2016,,8688667807,paid,fulfilled,8/22/2016,122.85,28.85,94,0,94
7677477663,8/22/2016,8/23/2016,,8688707487,paid,fulfilled,8/22/2016,34.31,7,25,0,25
7677490655,8/22/2016,8/23/2016,,8688542751,paid,fulfilled,8/22/2016,169.97,47.97,122,0,122
7677491231,8/22/2016,8/23/2016,,8688719967,paid,fulfilled,8/22/2016,59,7,52,0,52
7677498463,8/22/2016,8/23/2016,,8688726175,refunded,fulfilled,8/22/2016,76,7,69,0,69
7677502367,8/22/2016,8/23/2016,,8688400543,paid,fulfilled,8/22/2016,119.83,32.83,87,0,87
7677505759,8/22/2016,8/23/2016,,8688736607,partially_refunded,fulfilled,8/22/2016,115.81,0,106,0,106
7677505887,8/22/2016,8/23/2016,,8688734879,paid,fulfilled,8/22/2016,77,7,70,0,70
7677510111,8/22/2016,8/23/2016,,8688742815,paid,fulfilled,8/22/2016,361,0,361,0,361
7677513503,8/22/2016,,8/22/2016,8688740831,voided,,8/22/2016,34.31,7,25,0,25
7677517087,8/22/2016,8/23/2016,,8688751263,paid,fulfilled,8/22/2016,32,7,25,0,25
7677519263,8/22/2016,8/23/2016,,8688725983,paid,fulfilled,8/22/2016,32,7,25,0,25
7677520351,8/22/2016,8/23/2016,,8687646303,partially_refunded,fulfilled,8/22/2016,120.18,0,110,0,110
7677522847,8/22/2016,8/23/2016,,8688701407,paid,fulfilled,8/22/2016,75,7,68,0,68
7677525343,8/22/2016,8/23/2016,,8687978783,paid,fulfilled,8/22/2016,103,0,103,0,103
7677525535,8/22/2016,8/28/2016,,8688745503,paid,fulfilled,8/22/2016,52,7,45,0,45
7677525919,8/22/2016,8/23/2016,,8688745311,paid,fulfilled,8/22/2016,101,7,94,0,94
7677528671,8/22/2016,8/23/2016,,8688760671,paid,fulfilled,8/22/2016,196.65,0,180,0,180
7677529119,8/22/2016,8/23/2016,,8688760863,paid,fulfilled,8/22/2016,128.92,0,118,0,118
7677536863,8/22/2016,8/23/2016,,8688764255,paid,fulfilled,8/22/2016,88,7,81,0,81
7677545631,8/22/2016,8/23/2016,,8688776799,paid,fulfilled,8/22/2016,186.82,0,171,0,171
7677553375,8/22/2016,8/23/2016,,8688754079,partially_refunded,fulfilled,8/22/2016,450,0,450,0,450
7677554783,8/22/2016,8/23/2016,,8688790111,paid,fulfilled,8/22/2016,32,7,25,0,25
7677566303,8/22/2016,8/23/2016,,8688803295,paid,fulfilled,8/22/2016,113.62,0,104,0,104
7677575583,8/22/2016,8/23/2016,,8688813855,partially_refunded,fulfilled,8/22/2016,79,7,72,0,72
7677578783,8/22/2016,8/23/2016,,8688775839,refunded,fulfilled,8/22/2016,145.3,0,133,0,133
7677579231,8/22/2016,8/23/2016,,8688820639,paid,fulfilled,8/22/2016,34.31,7,25,0,25
7677587551,8/22/2016,8/23/2016,,8688791135,paid,fulfilled,8/22/2016,124.55,0,114,0,114
7677594783,8/22/2016,8/23/2016,,8688605023,paid,fulfilled,8/22/2016,92.83,32.83,60,0,60
7677601311,8/22/2016,8/23/2016,,8688835231,paid,fulfilled,8/22/2016,148,0,148,0,148
7677602719,8/22/2016,8/23/2016,,8688835615,paid,fulfilled,8/22/2016,101.83,32.83,69,0,69
7677603807,8/22/2016,8/23/2016,,8688843807,partially_refunded,fulfilled,8/22/2016,241.44,0,221,0,221
7677605087,8/22/2016,8/23/2016,,8688822239,paid,fulfilled,8/22/2016,63.81,7,52,0,52
7677606943,8/22/2016,8/23/2016,,8688740831,paid,fulfilled,8/22/2016,272.03,0,249,0,249
7677610271,8/22/2016,8/23/2016,,8688853791,paid,fulfilled,8/22/2016,75,7,68,0,68
7677616287,8/22/2016,8/23/2016,,8688851743,paid,fulfilled,8/22/2016,42,7,35,0,35
7677621471,8/22/2016,8/23/2016,,8688864991,paid,fulfilled,8/22/2016,76,7,69,0,69
7677625887,8/22/2016,8/23/2016,,8688849183,paid,fulfilled,8/22/2016,196.85,28.85,168,0,168
7677633823,8/22/2016,8/23/2016,,8688881247,paid,fulfilled,8/22/2016,56.16,7,45,0,45
7677635871,8/22/2016,8/23/2016,,8688875103,paid,fulfilled,8/22/2016,97,7,90,0,90
7677635935,8/22/2016,8/23/2016,,8688754079,partially_refunded,fulfilled,8/22/2016,120,0,120,0,120
7677636703,8/22/2016,8/23/2016,,8688870303,paid,fulfilled,8/22/2016,32,7,25,0,25
7677640479,8/22/2016,8/23/2016,,8688890143,paid,fulfilled,8/22/2016,32,7,25,0,25
7677641503,8/22/2016,8/23/2016,,8688889951,paid,fulfilled,8/22/2016,34.31,7,25,0,25
7677645535,8/22/2016,8/23/2016,,8688891935,paid,fulfilled,8/22/2016,84,7,77,0,77
7677647519,8/22/2016,8/22/2016,,8688889567,paid,fulfilled,8/22/2016,71.32,19.32,52,0,52
7677652895,8/22/2016,8/23/2016,,8688896607,refunded,fulfilled,8/22/2016,116,0,116,0,116
7677654175,8/22/2016,8/23/2016,,8688886623,paid,fulfilled,8/22/2016,141,0,141,0,141
7677654943,8/22/2016,8/23/2016,,8688906591,paid,fulfilled,8/22/2016,32,7,25,0,25
7677656095,8/22/2016,8/23/2016,,8688907295,paid,fulfilled,8/22/2016,67,7,60,0,60
7677656543,8/22/2016,8/23/2016,,8688903071,partially_refunded,fulfilled,8/22/2016,87,7,80,0,80
7677658335,8/22/2016,8/23/2016,,8688911263,paid,fulfilled,8/22/2016,87,7,80,0,80
7677661151,8/22/2016,8/23/2016,,8688906975,paid,fulfilled,8/22/2016,77,7,70,0,70
7677661919,8/22/2016,8/23/2016,,8688910303,paid,fulfilled,8/22/2016,32,7,25,0,25
7677662175,8/22/2016,8/23/2016,,8688917727,paid,fulfilled,8/22/2016,42,7,35,0,35
7677664863,8/22/2016,8/23/2016,,8688838687,paid,fulfilled,8/22/2016,52,7,45,0,45
7677668575,8/22/2016,8/23/2016,,8688961823,paid,fulfilled,8/22/2016,122.36,0,112,0,112
7677670559,8/22/2016,8/23/2016,,8688905247,paid,fulfilled,8/22/2016,67,7,60,0,60
7677672287,8/22/2016,8/23/2016,,8688901343,partially_refunded,fulfilled,8/22/2016,104,7,97,0,97
7690694047,8/24/2016,,,8689193567,paid,partial,8/22/2016,32,7,25,0,25
7677675743,8/22/2016,8/23/2016,,8688968799,paid,fulfilled,8/22/2016,49,7,42,0,42
7677679007,8/22/2016,8/23/2016,,8688921055,paid,fulfilled,8/22/2016,32,7,25,0,25
7677679327,8/22/2016,8/23/2016,,8688971871,paid,fulfilled,8/22/2016,52,7,45,0,45
7677685791,8/22/2016,8/23/2016,,8688979231,paid,fulfilled,8/22/2016,251,0,251,0,251
7677687583,8/22/2016,8/23/2016,,8688973535,paid,fulfilled,8/22/2016,42,7,35,0,35
7745891679,9/6/2016,,9/6/2016,8687978783,refunded,,9/6/2016,68,0,68,0,68
7677687647,8/22/2016,8/23/2016,,8688981727,paid,fulfilled,8/22/2016,32,7,25,0,25
7677688991,8/22/2016,8/23/2016,,8688978015,paid,fulfilled,8/22/2016,106.83,32.83,74,0,74
7677689183,8/22/2016,8/23/2016,,8688975391,paid,fulfilled,8/22/2016,49,7,42,0,42
7677689503,8/22/2016,8/23/2016,,8688838111,paid,fulfilled,8/22/2016,163.16,83.16,80,0,80
7677690143,8/22/2016,8/23/2016,,8688971551,paid,fulfilled,8/22/2016,32,7,25,0,25
7677693407,8/22/2016,8/23/2016,,8688896799,paid,fulfilled,8/22/2016,122,0,122,0,122
7677694623,8/22/2016,8/23/2016,,8688083551,paid,fulfilled,8/22/2016,111.88,7,96,0,96
7677695455,8/22/2016,8/23/2016,,8688988959,paid,fulfilled,8/22/2016,45.24,7,35,0,35
7677695967,8/22/2016,8/23/2016,,8688984159,partially_refunded,fulfilled,8/22/2016,84,7,77,0,77
7677700319,8/22/2016,8/23/2016,,8688986527,paid,fulfilled,8/22/2016,56.16,7,45,0,45
7677700447,8/22/2016,8/23/2016,,8688900703,paid,fulfilled,8/22/2016,52,7,45,0,45
7677701151,8/22/2016,8/23/2016,,8688843103,refunded,fulfilled,8/22/2016,137,0,137,0,137
7677701535,8/22/2016,8/23/2016,,8688973727,paid,fulfilled,8/22/2016,113,0,113,0,113
7677701983,8/22/2016,8/23/2016,,8688892319,paid,fulfilled,8/22/2016,180.24,17.46,149,0,149
7677705439,8/22/2016,8/23/2016,,8688967711,partially_refunded,fulfilled,8/22/2016,106,0,106,0,106
7677706079,8/22/2016,8/23/2016,,8689002975,refunded,fulfilled,8/22/2016,65,7,58,0,58
7677707295,8/22/2016,8/23/2016,,8688799327,paid,fulfilled,8/22/2016,97,7,90,0,90
7677709279,8/22/2016,8/23/2016,,8688968351,paid,fulfilled,8/22/2016,52,7,45,0,45
7677710943,8/22/2016,8/23/2016,,8688998367,paid,fulfilled,8/22/2016,99.93,47.93,52,0,52
7677712095,8/22/2016,8/23/2016,,8689013407,paid,fulfilled,8/22/2016,72.55,7,60,0,60
7677713439,8/22/2016,8/23/2016,,8689013279,paid,fulfilled,8/22/2016,86,7,79,0,79
7677714463,8/22/2016,8/23/2016,,8688995807,paid,fulfilled,8/22/2016,120,0,120,0,120
7677715679,8/22/2016,8/23/2016,,8689010591,paid,fulfilled,8/22/2016,77.83,32.83,45,0,45
7677716447,8/22/2016,8/23/2016,,8689000671,paid,fulfilled,8/22/2016,207,0,207,0,207
7677717983,8/22/2016,,8/23/2016,8689018527,refunded,,8/22/2016,82.38,7,69,0,69
7677718303,8/22/2016,8/23/2016,,8688993247,paid,fulfilled,8/22/2016,134.38,0,123,0,123
7677718495,8/22/2016,8/23/2016,,8689006303,paid,fulfilled,8/22/2016,32,7,25,0,25
7677719263,8/22/2016,8/23/2016,,8689020639,paid,fulfilled,8/22/2016,52,7,45,0,45
7677720863,8/22/2016,8/23/2016,,8689022815,paid,fulfilled,8/22/2016,34.31,7,25,0,25
7677721311,8/22/2016,8/23/2016,,8689018847,paid,fulfilled,8/22/2016,101,7,94,0,94
7677725023,8/22/2016,8/23/2016,,8688852639,paid,fulfilled,8/22/2016,149.67,0,137,0,137
7677726111,8/22/2016,8/23/2016,,8688984415,refunded,fulfilled,8/22/2016,78.01,7,65,0,65
7677726815,8/22/2016,8/23/2016,,8689022559,paid,fulfilled,8/22/2016,178.83,32.83,146,0,146
7677728991,8/22/2016,8/23/2016,,8689030111,refunded,fulfilled,8/22/2016,65,7,58,0,58
7677730143,8/22/2016,8/23/2016,,8689015647,paid,fulfilled,8/22/2016,81.29,7,68,0,68
7677730911,8/22/2016,8/23/2016,,8689009375,partially_refunded,fulfilled,8/22/2016,105.33,7,90,0,90
7677731039,8/22/2016,8/23/2016,,8689023007,paid,fulfilled,8/22/2016,86,7,79,0,79
7677732127,8/22/2016,8/23/2016,,8688655327,paid,fulfilled,8/22/2016,226,0,226,0,226
7677732959,8/22/2016,8/23/2016,,8689030239,partially_refunded,fulfilled,8/22/2016,137,0,137,0,137
7677734623,8/22/2016,8/23/2016,,8689022687,paid,fulfilled,8/22/2016,77,7,70,0,70
7677734687,8/22/2016,8/23/2016,,8689034975,paid,fulfilled,8/22/2016,80.2,7,67,0,67
7677735967,8/22/2016,8/23/2016,,8689037087,paid,fulfilled,8/22/2016,56.16,7,45,0,45
7677738015,8/22/2016,8/23/2016,,8689028255,refunded,fulfilled,8/22/2016,65,7,58,0,58
7677738655,8/22/2016,8/23/2016,,8688990303,paid,fulfilled,8/22/2016,86,7,79,0,79
7677740831,8/22/2016,8/23/2016,,8689039199,paid,fulfilled,8/22/2016,110,0,110,0,110
7677742879,8/22/2016,8/23/2016,,8689036895,paid,fulfilled,8/22/2016,52,7,45,0,45
7677743583,8/22/2016,8/23/2016,,8689012255,paid,fulfilled,8/22/2016,32,7,25,0,25
7677746143,8/22/2016,8/23/2016,,8689043615,paid,fulfilled,8/22/2016,69,7,62,0,62
7677746399,8/22/2016,8/23/2016,,8689047327,paid,fulfilled,8/22/2016,217,0,217,0,217
7677746719,8/22/2016,8/23/2016,,8689046111,paid,fulfilled,8/22/2016,45.11,10.11,35,0,35
7677747615,8/22/2016,8/23/2016,,8689046815,paid,fulfilled,8/22/2016,119,0,119,0,119
7677749279,8/22/2016,8/23/2016,,8689053663,paid,fulfilled,8/22/2016,240,0,240,0,240
7677749599,8/22/2016,8/25/2016,,8689044959,partially_refunded,fulfilled,8/22/2016,133,0,133,0,133
7677753503,8/22/2016,8/23/2016,,8688864735,paid,fulfilled,8/22/2016,148.68,43.68,105,0,105
7677754527,8/22/2016,8/23/2016,,8689049759,paid,fulfilled,8/22/2016,203.21,0,186,0,186
7677754847,8/22/2016,8/23/2016,,8689045215,paid,fulfilled,8/22/2016,32,7,25,0,25
7677755935,8/22/2016,8/23/2016,,8689026143,paid,fulfilled,8/22/2016,279.68,0,256,0,256
7677756511,8/22/2016,8/23/2016,,8689055455,paid,fulfilled,8/22/2016,32,7,25,0,25
7677758495,8/22/2016,8/23/2016,,8689064799,paid,fulfilled,8/22/2016,139,0,139,0,139
7677758559,8/22/2016,8/23/2016,,8689050143,paid,fulfilled,8/22/2016,59,7,52,0,52
7677759263,8/22/2016,8/23/2016,,8688957535,paid,fulfilled,8/22/2016,32,7,25,0,25
7677759327,8/22/2016,8/23/2016,,8689068127,paid,fulfilled,8/22/2016,65,7,58,0,58
7677759647,8/22/2016,8/23/2016,,8689050399,paid,fulfilled,8/22/2016,75,7,68,0,68
7677760415,8/22/2016,8/23/2016,,8688833823,refunded,fulfilled,8/22/2016,87,7,80,0,80
7677760671,8/22/2016,8/23/2016,,8688997151,paid,fulfilled,8/22/2016,45.24,7,35,0,35
7677761503,8/22/2016,8/23/2016,,8689062303,paid,fulfilled,8/22/2016,94,7,87,0,87
7677762719,8/22/2016,8/23/2016,,8689045855,paid,fulfilled,8/22/2016,116,0,116,0,116
7677762847,8/22/2016,8/23/2016,,8689065567,paid,fulfilled,8/22/2016,199,0,199,0,199
7677763039,8/22/2016,8/23/2016,,8689072159,paid,fulfilled,8/22/2016,82.38,7,69,0,69
7677764895,8/22/2016,8/23/2016,,8688877343,paid,fulfilled,8/22/2016,161.8,43.8,118,0,118
7677766303,8/22/2016,8/23/2016,,8689064095,paid,fulfilled,8/22/2016,197.7,41.7,156,0,156
7677766751,8/22/2016,8/23/2016,,8689072479,paid,fulfilled,8/22/2016,86,7,79,0,79
7677768863,8/22/2016,8/23/2016,,8689066079,paid,fulfilled,8/22/2016,59,7,52,0,52
7677769055,8/22/2016,8/23/2016,,8688974495,refunded,fulfilled,8/22/2016,142.03,0,130,0,130
7677769183,8/22/2016,8/23/2016,,8689075231,paid,fulfilled,8/22/2016,34.31,7,25,0,25
7677770079,8/22/2016,8/23/2016,,8689079455,paid,fulfilled,8/22/2016,94.4,7,80,0,80
7677772831,8/22/2016,8/23/2016,,8689080479,paid,fulfilled,8/22/2016,45.24,7,35,0,35
7677773151,8/22/2016,8/23/2016,,8689076831,partially_refunded,fulfilled,8/22/2016,162,0,162,0,162
7677774239,8/22/2016,8/23/2016,,8689062047,paid,fulfilled,8/22/2016,34.31,7,25,0,25
7677777119,8/22/2016,8/23/2016,,8689063839,paid,fulfilled,8/22/2016,34.31,7,25,0,25
7677781983,8/22/2016,8/23/2016,,8689064799,paid,fulfilled,8/22/2016,158,0,158,0,158
